UniProtKB,Symbol,Virus_mimicry,GTEx_medium_TPM_in_lung,Distinct_SLiMs,Biological_process,Molecular_function
O60583,CCNT2,Nucleocapsid,22.69,45,"cell cycle [GO:0007049]; cell division [GO:0051301]; early viral transcription [GO:0019085]; late viral transcription [GO:0019086]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of muscle cell differentiation [GO:0051147]; regulation of transcription by RNA polymerase II [GO:0006357]; skeletal muscle tissue development [GO:0007519]; transcription by RNA polymerase II [GO:0006366]",7SK snRNA binding [GO:0097322]; chromatin binding [GO:0003682]; cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; RNA polymerase binding [GO:0070063]; transcription coactivator binding [GO:0001223]
O00571,DDX3X,Nucleocapsid,131.63,44,cell differentiation [GO:0030154]; cellular response to arsenic-containing substance [GO:0071243]; cellular response to osmotic stress [GO:0071470]; cellular response to virus [GO:0098586]; chromosome segregation [GO:0007059]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; gamete generation [GO:0007276]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway [GO:0097193]; lipid homeostasis [GO:0055088]; mature ribosome assembly [GO:0042256]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of translation [GO:0017148]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell growth [GO:0030307]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of gene expression [GO:0010628]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of toll-like receptor 7 signaling pathway [GO:0034157]; positive regulation of toll-like receptor 8 signaling pathway [GO:0034161]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]; positive regulation of translation in response to endoplasmic reticulum stress [GO:0036493]; positive regulation of viral genome replication [GO:0045070]; primary miRNA processing [GO:0031053]; protein localization to cytoplasmic stress granule [GO:1903608]; response to virus [GO:0009615]; RNA secondary structure unwinding [GO:0010501]; stress granule assembly [GO:0034063]; translational initiation [GO:0006413]; Wnt signaling pathway [GO:0016055],ATPase [GO:0016887]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; cadherin binding [GO:0045296]; CTPase activity [GO:0043273]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; eukaryotic initiation factor 4E binding [GO:0008190]; gamma-tubulin binding [GO:0043015]; GTPase activity [GO:0003924]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; nucleoside-triphosphatase activity [GO:0017111]; poly(A) binding [GO:0008143]; protein serine/threonine kinase activator activity [GO:0043539]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA stem-loop binding [GO:0035613]; RNA strand annealing activity [GO:0033592]; transcription factor binding [GO:0008134]; translation initiation factor binding [GO:0031369]
Q6ZT98,TTLL7,Nucleocapsid,5.71,43,cell differentiation [GO:0030154]; microtubule cytoskeleton organization [GO:0000226]; nervous system development [GO:0007399]; protein polyglutamylation [GO:0018095],alpha-tubulin binding [GO:0043014]; ATP binding [GO:0005524]; beta-tubulin binding [GO:0048487]; tubulin binding [GO:0015631]; tubulin-glutamic acid ligase activity [GO:0070740]
O75122,CLASP2,Nucleocapsid,15.58,43,"cell division [GO:0051301]; establishment of mitotic spindle localization [GO:0040001]; establishment or maintenance of cell polarity [GO:0007163]; exit from mitosis [GO:0010458]; Golgi organization [GO:0007030]; microtubule anchoring [GO:0034453]; microtubule cytoskeleton organization [GO:0000226]; microtubule nucleation [GO:0007020]; microtubule organizing center organization [GO:0031023]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization [GO:0007052]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of microtubule depolymerization [GO:0007026]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of wound healing, spreading of epidermal cells [GO:1903690]; platelet-derived growth factor receptor-beta signaling pathway [GO:0035791]; positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of exocytosis [GO:0045921]; positive regulation of extracellular matrix disassembly [GO:0090091]; protein localization to plasma membrane [GO:0072659]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of axon extension [GO:0030516]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; regulation of microtubule-based process [GO:0032886]; regulation of microtubule polymerization [GO:0031113]; regulation of microtubule polymerization or depolymerization [GO:0031110]; vesicle targeting [GO:0006903]",actin filament binding [GO:0051015]; dystroglycan binding [GO:0002162]; microtubule binding [GO:0008017]; microtubule plus-end binding [GO:0051010]; protein tyrosine kinase binding [GO:1990782]
Q8IY92,SLX4,Nucleocapsid,4.92,43,DNA double-strand break processing involved in repair via single-strand annealing [GO:0010792]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; double-strand break repair via homologous recombination [GO:0000724]; interstrand cross-link repair [GO:0036297]; meiotic DNA double-strand break processing [GO:0000706]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; nucleotide-excision repair [GO:0006289]; positive regulation of t-circle formation [GO:1904431]; resolution of meiotic recombination intermediates [GO:0000712]; response to intra-S DNA damage checkpoint signaling [GO:0072429]; t-circle formation [GO:0090656]; telomeric D-loop disassembly [GO:0061820],DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]
Q6UB99,ANKRD11,Nucleocapsid,26.55,41,anatomical structure morphogenesis [GO:0009653]; face morphogenesis [GO:0060325]; odontogenesis of dentin-containing tooth [GO:0042475]; skeletal system morphogenesis [GO:0048705],N/A
Q86XZ4,SPATS2,Nucleocapsid,9.1,40,N/A,RNA binding [GO:0003723]
Q9BVI0,PHF20,Nucleocapsid,17.21,37,histone acetylation [GO:0016573]; histone H4-K16 acetylation [GO:0043984]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982]; regulation of transcription by RNA polymerase II [GO:0006357],DNA binding [GO:0003677]; metal ion binding [GO:0046872]
Q8WXX7,AUTS2,Nucleocapsid,15.83,36,actin cytoskeleton reorganization [GO:0031532]; axon extension [GO:0048675]; dendrite extension [GO:0097484]; neuron migration [GO:0001764]; positive regulation of histone H3-K4 methylation [GO:0051571]; positive regulation of histone H4-K16 acetylation [GO:2000620]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of transcription by RNA polymerase II [GO:0045944],chromatin binding [GO:0003682]
Q14978,NOLC1,Nucleocapsid,49.23,35,"box H/ACA RNA metabolic process [GO:0033979]; mitotic cell cycle [GO:0000278]; neural crest cell development [GO:0014032]; neural crest formation [GO:0014029]; nucleolus organization [GO:0007000]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of protein import into nucleus [GO:0042306]; regulation of translation [GO:0006417]; response to osmotic stress [GO:0006970]; rRNA processing [GO:0006364]",ATP binding [GO:0005524]; box C/D RNA binding [GO:0034512]; box C/D snoRNP complex binding [GO:0062064]; box H/ACA snoRNA binding [GO:0034513]; box H/ACA snoRNP complex binding [GO:0062065]; GTP binding [GO:0005525]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; protein-macromolecule adaptor activity [GO:0030674]; RNA binding [GO:0003723]; TFIIB-class transcription factor binding [GO:0001093]
Q9UPV0,CEP164,Nucleocapsid,14.71,34,cell cycle [GO:0007049]; cell division [GO:0051301]; cilium assembly [GO:0060271]; DNA repair [GO:0006281],N/A
Q5T6F2,UBAP2,Nucleocapsid,23.81,33,regulation of gene expression [GO:0010468],cadherin binding [GO:0045296]; RNA binding [GO:0003723]
O60832,DKC1,Nucleocapsid,28.04,33,box H/ACA RNA 3'-end processing [GO:0000495]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; mRNA pseudouridine synthesis [GO:1990481]; positive regulation of establishment of protein localization to telomere [GO:1904851]; positive regulation of protein localization to Cajal body [GO:1904871]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of telomerase RNA localization to Cajal body [GO:1904872]; RNA processing [GO:0006396]; rRNA processing [GO:0006364]; rRNA pseudouridine synthesis [GO:0031118]; scaRNA localization to Cajal body [GO:0090666]; snRNA pseudouridine synthesis [GO:0031120]; telomerase RNA stabilization [GO:0090669]; telomere maintenance via telomerase [GO:0007004],box H/ACA snoRNA binding [GO:0034513]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; telomerase activity [GO:0003720]; telomerase RNA binding [GO:0070034]
Q99569,PKP4,Nucleocapsid,24.77,33,cell-cell adhesion [GO:0098609]; cell-cell junction assembly [GO:0007043]; cell-cell signaling [GO:0007267]; positive regulation of cytokinesis [GO:0032467]; positive regulation of GTPase activity [GO:0043547]; regulation of cell adhesion [GO:0030155],cadherin binding [GO:0045296]
O43166,SIPA1L1,Nucleocapsid,14.58,33,actin cytoskeleton reorganization [GO:0031532]; activation of GTPase activity [GO:0090630]; ephrin receptor signaling pathway [GO:0048013]; regulation of axonogenesis [GO:0050770]; regulation of dendrite morphogenesis [GO:0048814]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of GTPase activity [GO:0043087]; regulation of small GTPase mediated signal transduction [GO:0051056]; regulation of synaptic plasticity [GO:0048167],ephrin receptor binding [GO:0046875]; GTPase activator activity [GO:0005096]
Q5SW79,CEP170,Nucleocapsid,14.01,32,N/A,N/A
Q16630,CPSF6,Nucleocapsid,39,32,messenger ribonucleoprotein complex assembly [GO:1990120]; mRNA alternative polyadenylation [GO:0110104]; mRNA processing [GO:0006397]; positive regulation of RNA export from nucleus [GO:0046833]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; protein heterotetramerization [GO:0051290]; protein tetramerization [GO:0051262],exon-exon junction complex binding [GO:1990448]; mRNA binding [GO:0003729]; ribosomal large subunit binding [GO:0043023]; RNA binding [GO:0003723]
O15534,PER1,Nucleocapsid,170.11,31,"circadian regulation of gene expression [GO:0032922]; circadian regulation of translation [GO:0097167]; circadian rhythm [GO:0007623]; entrainment of circadian clock [GO:0009649]; entrainment of circadian clock by photoperiod [GO:0043153]; histone H3 acetylation [GO:0043966]; histone H3 deacetylation [GO:0070932]; histone H4 acetylation [GO:0043967]; negative regulation of glucocorticoid receptor signaling pathway [GO:2000323]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of JNK cascade [GO:0046329]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; posttranscriptional regulation of gene expression [GO:0010608]; regulation of circadian rhythm [GO:0042752]; regulation of cytokine production involved in inflammatory response [GO:1900015]; regulation of hair cycle [GO:0042634]; regulation of p38MAPK cascade [GO:1900744]; regulation of sodium ion transport [GO:0002028]; response to cAMP [GO:0051591]",chromatin DNA binding [GO:0031490]; E-box binding [GO:0070888]; kinase binding [GO:0019900]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]; transcription corepressor binding [GO:0001222]; ubiquitin protein ligase binding [GO:0031625]
Q5TCZ1,SH3PXD2A,Nucleocapsid,35.54,31,in utero embryonic development [GO:0001701]; osteoclast fusion [GO:0072675]; superoxide metabolic process [GO:0006801],"molecular adaptor activity [GO:0060090]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; protease binding [GO:0002020]; superoxide-generating NADPH oxidase activator activity [GO:0016176]"
